date_year,date_month,H0,H3,H6,H9,H12,recession
1992,5,1.11600288232405e-12,2.18129030375279e-13,6.10686603897701e-14,6.12910693272735e-13,9.80309211965765e-12,0
1992,6,2.20006053783307e-12,4.52764750031664e-13,2.24375670824055e-13,4.76320350177749e-13,3.77844659702969e-12,0
1992,7,4.09814595944132e-13,1.32074965613212e-12,3.19676133445405e-12,7.4355088108705e-13,7.28875833777335e-12,0
1992,8,1.90482050695651e-13,2.65760201095483e-12,8.89255509664153e-13,5.2942675228386e-13,3.06701731905792e-12,0
1992,9,3.09070387119691e-13,1.74851045393369e-12,1.38704926274957e-12,2.19406370749526e-12,4.10563417465161e-12,0
1992,10,1.58467907023507e-13,1.86521387963365e-13,9.10801502407093e-13,1.96480006937406e-12,3.74470756150472e-12,0
1992,11,1.89520433336485e-14,1.74664294634636e-13,8.69961986060978e-13,8.45920153312672e-13,1.4734401626967e-12,0
1992,12,1.22563687021578e-14,1.20341580967105e-13,3.82942182887852e-13,5.64922836596105e-13,3.26505411064074e-12,0
1993,1,1.52059147805777e-15,4.51156629861029e-13,9.98915840887369e-14,2.89552407002401e-12,2.29833248056567e-12,0
1993,2,3.8722963470653e-17,1.37351790902217e-13,1.07834602820067e-13,7.60664405937096e-13,6.03691305545747e-12,0
1993,3,7.0875319271838e-17,3.02249629734596e-13,5.23526479623265e-13,1.12774804012135e-12,2.12420597464875e-11,0
1993,4,1.22339593787799e-15,9.43553918059983e-15,3.3359748390861e-13,3.30967709026204e-13,1.53682634927494e-10,0
1993,5,2.5372749709208e-16,2.58912479247281e-16,2.94041813968928e-14,4.92527856794178e-14,4.8193722999011e-12,0
1993,6,2.95770806147722e-15,4.44941056368181e-16,4.24485177483556e-14,1.18244415286627e-13,2.52496077453328e-12,0
1993,7,4.72482255696334e-15,7.06319014606001e-14,2.21087797676257e-14,1.52759348089679e-13,9.77095157801135e-13,0
1993,8,8.68157934588089e-15,2.05194472557973e-14,5.52834551149442e-15,7.50448095485584e-14,4.40852949024107e-13,0
1993,9,3.3719185012271e-15,3.36215713176821e-14,1.20939893301618e-14,1.93262465533841e-13,8.21621642265847e-13,0
1993,10,4.04362994112048e-15,1.12600972260827e-13,3.5920103917973e-13,1.42057698924497e-13,1.23767607419892e-12,0
1993,11,3.11075087586824e-15,5.62117650925286e-13,2.88869205539718e-13,2.29146978721675e-14,3.01707506987881e-13,0
1993,12,3.99291094381446e-16,6.78410356315335e-13,8.49426960712749e-13,1.77430183617714e-14,1.73482549581271e-13,0
1994,1,4.68551628003864e-16,9.838215515894e-13,2.48969445085512e-12,3.174592299553e-12,1.43362980533872e-13,0
1994,2,1.32546859751363e-16,1.35842433222729e-12,9.53362347450512e-12,2.5991792631722e-12,1.78002332340996e-13,0
1994,3,5.04804806188703e-18,3.55725375305113e-13,2.44160320812954e-11,5.07831576608174e-12,3.56029636865327e-13,0
1994,4,3.96662018613595e-18,6.45823206755304e-14,9.36670825247965e-12,1.27180440386504e-11,2.69297934989861e-11,0
1994,5,1.72480416677251e-19,2.26728063792806e-14,7.7802701225054e-12,3.64860001576296e-11,2.15872482210269e-11,0
1994,6,2.68994506927067e-20,5.39236527394254e-15,3.88961491220663e-12,1.45856153537664e-10,3.55990566152001e-11,0
1994,7,1.00339370760888e-20,1.35064042372008e-14,1.77298666587252e-12,6.31001861745614e-11,1.06886194884592e-10,0
1994,8,4.80922042912349e-21,9.41352910756049e-16,1.67980076131314e-12,9.61023756531328e-11,3.87613373256516e-10,0
1994,9,5.37305257853909e-22,1.27649715841807e-16,9.07588752344614e-13,1.04146203322544e-10,2.83820062222021e-09,0
1994,10,1.93452339040043e-22,1.07559277710959e-16,1.61123469714267e-12,4.82050821606496e-11,1.6562375475378e-09,0
